1 ALLEN STREET,Unspecified,Unknown,Unknown
131 ELDRIDGE STREET,Unspecified,986580,201192
131 ESSEX STREET,7,987725,201595
131 FT GEORGE AVENUE,34,1004399,251637
131 FT GEORGE AVENUE,34,1004399,251637
131 NAGLE AVENUE,34,1004502,252914
131 PRINCE STREET,1,984159,203597
131 PRINCE STREET,1,984159,203597
131 WEST 24 STREET,13,986093,210340
131 WEST 24 STREET,13,986093,210340
1311 LEXINGTON AVENUE,19,996836,223780
1312 RIVERSIDE DRIVE,Unspecified,1000063,249059
1312 ST NICHOLAS AVENUE,33,1001889,247453
1314 RIVERSIDE DRIVE,Unspecified,Unknown,Unknown
1316 5 AVENUE,28,998406,229791
1316 RIVERSIDE DRIVE,Unspecified,1000067,249086
1318 ST NICHOLAS AVENUE,Unspecified,Unknown,Unknown
132 DYCKMAN STREET,34,1004916,253492
132 EAST 17 STREET,13,987836,207323
132 EAST 39 STREET,17,990567,212316
132 EAST 39 STREET,17,990567,212316
132 ELDRIDGE STREET,5,986581,201177
132 MADISON STREET,Unspecified,985959,198803
132 ST MARKS PLACE,9,988582,204214
132 VERMILYEA AVENUE,34,1006089,255017
132 VERMILYEA AVENUE,34,1006089,255017
132 WEST 125 STREET,28,999043,233738
132 WOOSTER STREET,1,984273,203626
132 WOOSTER STREET,Unspecified,Unknown,Unknown
1322 RIVERSIDE DRIVE,Unspecified,1000072,249128
1324 LEXINGTON AVENUE,19,996851,223818
1324 LEXINGTON AVENUE,Unspecified,Unknown,Unknown
1326 RIVERSIDE DRIVE,Unspecified,1000075,249155
1326 ST NICHOLAS AVENUE,33,1001986,247628
1327 LEXINGTON AVENUE,19,996886,223872
133 EAST BROADWAY,7,986565,199377
133 EAST BROADWAY,7,986565,199377
133 ELDRIDGE STREET,5,986587,201209
133 FT GEORGE AVENUE,34,1004375,251614
133 FT GEORGE AVENUE,34,1004375,251614
133 GRAND STREET,5,984319,201726
133 HENRY STREET,7,986753,199158
133 LUDLOW STREET,7,987499,201684
133 MOTT STREET,5,985137,201006
133 WEST 113 STREET,28,997318,231040
133 WOOSTER STREET,1,984271,203634
133 WOOSTER STREET,1,984271,203634
1334 ST NICHOLAS AVENUE,33,1002026,247698
1335 LEXINGTON AVENUE,19,996911,223917
1335 LEXINGTON AVENUE,19,996911,223917
1336 RIVERSIDE DRIVE,Unspecified,1000084,249225
1338 RIVERSIDE DRIVE,34,1000116,249329
1339 ST NICHOLAS AVENUE,33,1002040,247736
134 BOWERY,5,985733,201181
134 EAST 62 STREET,19,993379,217695
134 ELDRIDGE STREET,5,986588,201196
134 ELDRIDGE STREET,Unspecified,986588,201196
134 GRAND STREET,5,984322,201731
1345 AMSTERDAM AVENUE,26,996425,235734
1349 AMSTERDAM AVENUE,26,996447,235773
135 3 AVENUE,13,987875,206559
135 SHERMAN AVENUE,34,1005226,254155
135 WEST 132 STREET,32,999926,235362
135 WEST 18 STREET,13,985323,209002
1353 ST NICHOLAS AVENUE,33,1002136,247913
136 DIVISION STREET,7,986565,199575
136 HILLSIDE AVENUE,34,1004653,252693
136 HILLSIDE AVENUE,Unspecified,Unknown,Unknown
136 WEST 20 STREET,13,985545,209429
1361 LEXINGTON AVENUE,19,997105,224266
1364 LEXINGTON AVENUE,19,997094,224260
1364 LEXINGTON AVENUE,19,997094,224260
1364 LEXINGTON AVENUE,19,997094,224260
1364 LEXINGTON AVENUE,19,997094,224260
1365 1 AVENUE,19,996602,219313
1367 1 AVENUE,19,996607,219322
1367 1 AVENUE,19,996607,219322
137 7 AVENUE SOUTH,6,983648,206948
137 CENTRE STREET,5,984069,200556
137 EAST HOUSTON STREET,5,987006,202814
137 HESTER STREET,5,985755,200507
137 WEST 137 STREET,Unspecified,Unknown,Unknown
1371 1 AVENUE,19,996616,219339
1374 3 AVENUE,19,995958,221162
1377 LEXINGTON AVENUE,19,997169,224382
1378 LEXINGTON AVENUE,19,997172,224399
1378 LEXINGTON AVENUE,Unspecified,Unknown,Unknown
137A HESTER STREET,5,985755,200507
138 1 AVENUE,Unspecified,988371,204432
138 BAXTER STREET,Unspecified,984636,201111
138 EAST 78 STREET,19,995404,221417
138 LUDLOW STREET,7,987529,201746
138 LUDLOW STREET,7,987529,201746
138 WEST 117 STREET,28,997835,231989
1382 LEXINGTON AVENUE,19,997220,224486
